epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,267.773,1.14958,2.87229,0.00862,0.82431,0.76389,0.84444,0.61072,1.04003,1.70754,0.00675,0.000664783,0.000664783,0.000664783
2,600.121,1.18725,1.31856,0.0091,0.79205,0.8,0.86674,0.64117,0.99955,0.95199,0.00699,0.00119964,0.00119964,0.00119964
3,927.503,1.17651,0.89725,0.00893,0.83961,0.80402,0.87848,0.59587,1.1544,0.83063,0.00779,0.00160249,0.00160249,0.00160249
4,1260.68,1.14048,0.7133,0.00859,0.86738,0.82814,0.90599,0.65284,1.05611,0.64543,0.00689,0.001406,0.001406,0.001406
5,1590.26,1.07547,0.6362,0.00789,0.87441,0.85226,0.92241,0.70068,0.94551,0.5381,0.00603,0.001208,0.001208,0.001208
6,1929.7,1.01406,0.58188,0.00731,0.87724,0.88744,0.93456,0.70958,0.92314,0.49994,0.00598,0.00101,0.00101,0.00101
7,2233.13,0.95281,0.50329,0.00671,0.87854,0.90754,0.94105,0.73218,0.8845,0.45228,0.00558,0.000812,0.000812,0.000812
8,2560.14,0.94111,0.48646,0.00663,0.91783,0.89045,0.9476,0.74922,0.8363,0.42056,0.00533,0.000614,0.000614,0.000614
9,2888.04,0.8866,0.45009,0.00615,0.89942,0.90774,0.9519,0.75819,0.81313,0.39682,0.00505,0.000416,0.000416,0.000416
10,3114.33,0.86031,0.42862,0.006,0.9154,0.91352,0.95419,0.75991,0.79647,0.38584,0.00507,0.000218,0.000218,0.000218
