epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1941.25,1.26225,3.81365,0.00652,0.92037,0.87787,0.96167,0.62399,1.2366,1.59536,0.00904,0.000665745,0.000665745,0.000665745
2,3923.75,1.32401,1.06135,0.00686,0.91689,0.89636,0.96908,0.6058,1.25507,0.71001,0.00957,0.00126646,0.00126646,0.00126646
3,5953.92,1.34162,0.7398,0.00683,0.93089,0.90583,0.9746,0.64643,1.18547,0.53085,0.00853,0.00180117,0.00180117,0.00180117
4,8069.94,1.29249,0.59216,0.00658,0.94844,0.92761,0.98179,0.63436,1.20264,0.44908,0.00857,0.001703,0.001703,0.001703
5,10263,1.26927,0.53258,0.00648,0.95594,0.94397,0.9874,0.68594,1.12774,0.3878,0.00811,0.001604,0.001604,0.001604
6,12427.6,1.24486,0.50333,0.00621,0.94764,0.94739,0.9878,0.673,1.14797,0.4071,0.00816,0.001505,0.001505,0.001505
7,14581.8,1.24911,0.48788,0.00636,0.96196,0.96479,0.99006,0.68185,1.14573,0.38074,0.00805,0.001406,0.001406,0.001406
8,16351.1,1.20838,0.46344,0.00621,0.96667,0.96365,0.99146,0.69349,1.11921,0.35617,0.00785,0.001307,0.001307,0.001307
9,18400.2,1.21305,0.46051,0.00615,0.97424,0.96123,0.99143,0.69355,1.11469,0.34379,0.00802,0.001208,0.001208,0.001208
10,20450.1,1.19137,0.43186,0.00596,0.96579,0.96163,0.99094,0.69127,1.12464,0.36031,0.00799,0.001109,0.001109,0.001109
11,22400.9,1.13637,0.37321,0.00695,0.96533,0.95824,0.99052,0.70015,1.09655,0.351,0.00775,0.00101,0.00101,0.00101
12,24366.8,1.12822,0.35998,0.00685,0.97149,0.96598,0.99243,0.71017,1.08056,0.32624,0.0077,0.000911,0.000911,0.000911
13,26337.7,1.11078,0.34375,0.00674,0.97022,0.96796,0.99211,0.70332,1.09229,0.33225,0.00766,0.000812,0.000812,0.000812
14,28315.9,1.10626,0.34461,0.0067,0.98078,0.96895,0.99325,0.71137,1.06862,0.30967,0.00757,0.000713,0.000713,0.000713
15,30284,1.08134,0.32794,0.00655,0.97677,0.9731,0.99303,0.71172,1.0745,0.31766,0.00767,0.000614,0.000614,0.000614
16,32255.1,1.06127,0.31284,0.00637,0.98391,0.97429,0.99383,0.72286,1.03664,0.29663,0.00718,0.000515,0.000515,0.000515
17,34226.1,1.04969,0.31076,0.00639,0.98082,0.97075,0.99314,0.71774,1.05041,0.31168,0.0074,0.000416,0.000416,0.000416
18,36239.6,1.03699,0.30355,0.00618,0.98106,0.97231,0.99366,0.72707,1.02583,0.29828,0.00716,0.000317,0.000317,0.000317
19,38381.2,1.03076,0.30194,0.0061,0.98374,0.98124,0.99399,0.72964,1.02305,0.29132,0.00713,0.000218,0.000218,0.000218
20,40423.5,1.01838,0.29931,0.00608,0.98547,0.97983,0.9942,0.73071,1.01535,0.28831,0.00706,0.000119,0.000119,0.000119
