epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2608,1.07608,4.09363,0.00323,0.01222,0.12898,0.03734,0.03494,0.61042,3.99888,0.0026,0.00023331,0.00023331,0.00023331
2,48.4426,0.93218,3.62602,0.00286,0.02521,0.57836,0.1655,0.14425,0.55538,3.9364,0.00239,0.000468271,0.000468271,0.000468271
3,77.3866,0.99356,3.21255,0.00295,0.02239,0.58112,0.16086,0.12948,0.58525,3.58035,0.0027,0.000693553,0.000693553,0.000693553
4,99.2534,0.95627,2.78794,0.00276,0.02975,0.74779,0.22751,0.1881,0.63024,2.69476,0.00291,0.000909156,0.000909156,0.000909156
5,128.847,0.95487,2.34448,0.00307,0.91084,0.21248,0.27985,0.23393,0.69642,2.08524,0.00335,0.00102301,0.00102301,0.00102301
6,167.413,0.9817,2.16772,0.00298,0.93703,0.21592,0.28193,0.23936,0.65356,1.79699,0.00283,0.00100101,0.00100101,0.00100101
7,205.67,1.00711,2.11512,0.00311,0.91363,0.22184,0.32004,0.26973,0.63347,2.60597,0.00312,0.000979013,0.000979013,0.000979013
8,246.237,0.9564,2.17965,0.00282,0.91818,0.22701,0.3389,0.29022,0.70918,2.93484,0.00327,0.000957015,0.000957015,0.000957015
9,286.72,0.95938,2.16939,0.00297,0.95935,0.20692,0.36813,0.30972,0.69612,2.25068,0.00332,0.000935018,0.000935018,0.000935018
10,324.838,0.9195,2.00251,0.00295,0.99508,0.19163,0.41352,0.35875,0.67867,1.83795,0.0031,0.00091302,0.00091302,0.00091302
11,361.62,0.91725,1.77734,0.00277,0.95039,0.19684,0.40221,0.34041,0.65249,1.58484,0.003,0.000891022,0.000891022,0.000891022
12,398.668,0.89009,1.80599,0.00264,0.89532,0.26674,0.43569,0.35843,0.65751,1.48313,0.00315,0.000869024,0.000869024,0.000869024
13,435.413,0.91159,1.78376,0.00251,0.90959,0.27408,0.48382,0.39474,0.65613,1.48459,0.00308,0.000847026,0.000847026,0.000847026
14,473.66,0.87609,1.72219,0.00256,0.72464,0.33455,0.50307,0.41924,0.63385,1.47993,0.00301,0.000825029,0.000825029,0.000825029
15,510.134,0.89933,1.6744,0.00264,0.65313,0.40667,0.53718,0.45335,0.60377,1.43869,0.00274,0.000803031,0.000803031,0.000803031
16,546.78,0.88382,1.55048,0.00254,0.60545,0.44706,0.5393,0.45792,0.61789,1.40844,0.0029,0.000781033,0.000781033,0.000781033
17,569.762,0.87241,1.52432,0.00253,0.66946,0.4055,0.52503,0.44966,0.58427,1.34816,0.00282,0.000759035,0.000759035,0.000759035
18,588.56,0.85479,1.47827,0.0025,0.67315,0.41976,0.51932,0.44986,0.57973,1.32591,0.00264,0.000737037,0.000737037,0.000737037
19,607.231,0.83611,1.50737,0.00258,0.67361,0.42547,0.50335,0.4334,0.59554,1.32825,0.00264,0.00071504,0.00071504,0.00071504
20,625.469,0.81309,1.48958,0.00251,0.65277,0.42313,0.50286,0.42636,0.61102,1.29031,0.00286,0.000693042,0.000693042,0.000693042
21,642.843,0.83223,1.40725,0.00249,0.56164,0.48983,0.51467,0.44824,0.61278,1.2654,0.00278,0.000671044,0.000671044,0.000671044
22,663.512,0.88905,1.40354,0.00238,0.66529,0.46839,0.52088,0.44763,0.62999,1.2533,0.00282,0.000649046,0.000649046,0.000649046
23,684.775,0.81998,1.40597,0.00242,0.68959,0.47379,0.50443,0.43872,0.56713,1.21748,0.00258,0.000627048,0.000627048,0.000627048
24,708.269,0.84394,1.3488,0.00255,0.67592,0.44264,0.51088,0.43974,0.57634,1.2024,0.00266,0.000605051,0.000605051,0.000605051
25,746.17,0.87561,1.34991,0.00254,0.77011,0.4212,0.55174,0.48327,0.55092,1.16346,0.00253,0.000583053,0.000583053,0.000583053
26,783.625,0.83148,1.29925,0.00224,0.77034,0.4212,0.56627,0.49021,0.58827,1.17562,0.00267,0.000561055,0.000561055,0.000561055
27,820.39,0.79444,1.29175,0.00243,0.77808,0.41976,0.54538,0.46165,0.59997,1.17205,0.00267,0.000539057,0.000539057,0.000539057
28,857.621,0.77389,1.27613,0.00233,0.7999,0.44397,0.55367,0.47549,0.57062,1.13346,0.00249,0.000517059,0.000517059,0.000517059
29,876.668,0.78211,1.27754,0.00238,0.79264,0.43071,0.54362,0.47412,0.54795,1.12701,0.00251,0.000495062,0.000495062,0.000495062
30,897.939,0.78926,1.24784,0.00219,0.79703,0.41976,0.54444,0.47455,0.54944,1.1135,0.00252,0.000473064,0.000473064,0.000473064
31,921.943,0.80177,1.22618,0.00215,0.78388,0.42463,0.54925,0.47478,0.53467,1.09219,0.00229,0.000451066,0.000451066,0.000451066
32,959.517,0.7889,1.19577,0.00216,0.79139,0.42807,0.54438,0.47163,0.55161,1.07813,0.00253,0.000429068,0.000429068,0.000429068
33,997.631,0.80208,1.23644,0.00237,0.79199,0.42992,0.55524,0.48706,0.52546,1.08502,0.0023,0.00040707,0.00040707,0.00040707
34,1034.06,0.7591,1.20987,0.00215,0.79557,0.42838,0.5572,0.49031,0.50661,1.08589,0.00215,0.000385073,0.000385073,0.000385073
35,1071.52,0.81058,1.15369,0.0021,0.79885,0.42838,0.55386,0.48588,0.51565,1.08171,0.00223,0.000363075,0.000363075,0.000363075
36,1108.15,0.78441,1.18855,0.00222,0.78993,0.42277,0.55484,0.48419,0.5441,1.07188,0.00247,0.000341077,0.000341077,0.000341077
37,1145.99,0.76871,1.15188,0.00212,0.80131,0.43115,0.55669,0.48651,0.54894,1.07507,0.00253,0.000319079,0.000319079,0.000319079
38,1183.93,0.7895,1.17508,0.00224,0.80668,0.42971,0.55466,0.48626,0.52572,1.07024,0.00231,0.000297081,0.000297081,0.000297081
39,1221.02,0.75462,1.15251,0.00215,0.82266,0.42396,0.55642,0.48619,0.50481,1.05822,0.00215,0.000275084,0.000275084,0.000275084
40,1260.21,0.76701,1.1161,0.00201,0.82554,0.42396,0.55817,0.48492,0.5204,1.05177,0.00223,0.000253086,0.000253086,0.000253086
41,1301.9,0.80281,1.47278,0.00233,0.81263,0.42802,0.55861,0.47054,0.53855,1.06031,0.00236,0.000231088,0.000231088,0.000231088
42,1340.59,0.73727,1.37687,0.00225,0.79987,0.43258,0.55212,0.46003,0.55029,1.0775,0.00246,0.00020909,0.00020909,0.00020909
43,1368.33,0.72107,1.38514,0.00218,0.78603,0.43689,0.55317,0.45484,0.55941,1.09894,0.00254,0.000187092,0.000187092,0.000187092
44,1384.69,0.73425,1.38485,0.0023,0.77973,0.4611,0.55219,0.45289,0.5609,1.12256,0.00256,0.000165095,0.000165095,0.000165095
45,1410.08,0.75741,1.35889,0.00216,0.78966,0.45454,0.55183,0.4525,0.55823,1.13604,0.00252,0.000143097,0.000143097,0.000143097
46,1442.11,0.73144,1.3365,0.00227,0.79136,0.44253,0.55213,0.45346,0.55896,1.13893,0.0025,0.000121099,0.000121099,0.000121099
47,1458.56,0.75198,1.39471,0.0022,0.78782,0.44828,0.54814,0.45388,0.54301,1.13261,0.00237,9.91012e-05,9.91012e-05,9.91012e-05
48,1475.95,0.73944,1.36921,0.00218,0.7826,0.45045,0.54826,0.45446,0.54518,1.11808,0.00237,7.71034e-05,7.71034e-05,7.71034e-05
