epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.11921,2.09507,4.34137,0.00832,0.01237,0.2856,0.01655,0.00918,1.8809,3.98922,0.00881,0.00023331,0.00023331,0.00023331
2,11.7546,1.74981,4.02538,0.00604,0.00914,0.28236,0.06234,0.04609,1.24769,4.01793,0.00533,0.000468271,0.000468271,0.000468271
3,17.9369,1.68543,3.74751,0.00547,0.00802,0.28236,0.2313,0.13185,1.17404,3.90987,0.0047,0.000693553,0.000693553,0.000693553
4,23.0726,1.5659,3.47551,0.00498,0.02087,0.39887,0.20803,0.12505,1.32472,3.38899,0.00574,0.000909156,0.000909156,0.000909156
5,28.2847,1.64848,3.17197,0.00499,0.02948,0.51861,0.20433,0.11406,1.29778,2.96945,0.00556,0.00102301,0.00102301,0.00102301
6,33.4603,1.50622,2.89129,0.00499,0.87222,0.08738,0.20856,0.13342,1.37083,2.44494,0.00666,0.00100101,0.00100101,0.00100101
7,43.7857,1.58609,2.57964,0.00526,0.80124,0.21683,0.2401,0.15083,1.31426,1.97622,0.00648,0.000979013,0.000979013,0.000979013
8,58.5958,1.57123,2.28114,0.00499,0.84648,0.18123,0.24198,0.16484,1.28169,1.81624,0.00608,0.000957015,0.000957015,0.000957015
9,73.3679,1.53655,2.07301,0.0051,0.88445,0.20738,0.28256,0.18461,1.36642,1.78752,0.00653,0.000935018,0.000935018,0.000935018
10,88.3042,1.4826,1.84355,0.00465,0.89451,0.18447,0.28321,0.18548,1.38462,1.75619,0.00674,0.00091302,0.00091302,0.00091302
11,102.102,1.46938,1.75584,0.00485,0.90664,0.17476,0.30355,0.20951,1.30554,1.82096,0.00607,0.000891022,0.000891022,0.000891022
12,118.47,1.48002,1.66793,0.0047,0.84995,0.24272,0.33047,0.22022,1.29453,1.91416,0.0059,0.000869024,0.000869024,0.000869024
13,133.506,1.4824,1.66664,0.00452,0.86001,0.24138,0.32296,0.22046,1.32098,1.84092,0.00601,0.000847026,0.000847026,0.000847026
14,148.751,1.42801,1.54203,0.00453,0.8689,0.23463,0.33595,0.2327,1.25805,1.62225,0.00556,0.000825029,0.000825029,0.000825029
15,164.167,1.4645,1.44042,0.00414,0.91474,0.20712,0.34133,0.24761,1.18252,1.41955,0.005,0.000803031,0.000803031,0.000803031
16,179.16,1.34019,1.45751,0.00424,0.91526,0.22654,0.34435,0.24256,1.1812,1.38748,0.00515,0.000781033,0.000781033,0.000781033
17,194.271,1.43679,1.44667,0.00442,0.93349,0.23625,0.35592,0.23998,1.24405,1.38188,0.00556,0.000759035,0.000759035,0.000759035
